ticker,epochs_trained,train_r2,train_rmse,train_dir_acc,val_r2,val_rmse,val_dir_acc,test_r2,test_rmse,test_dir_acc,target_date,forecast_return
DAL,26,0.875691718710288,0.0429104953528652,86.49147072383587,-0.24276703202783123,0.11203402675701146,63.837638376383765,0.0018022197131170037,0.13871574164361336,58.82352941176471,2026-03-11,-6.2543926
ABBV,17,0.33318401378890705,0.0613011563193748,68.49630996309963,-0.07910857819798078,0.06832034860550804,59.040590405904055,-0.1619045765300513,0.07553862672599558,58.671586715867164,2026-03-11,1.3991356
FLUT,27,0.8889360423146123,0.03707107087102012,91.8918918918919,-0.2603584780802717,0.11192890588095246,64.02877697841727,-0.391562539887069,0.14416194910625038,58.57142857142858,2026-03-11,12.513018
FI,18,0.5310088330546827,0.04122565513909875,80.70664807066481,-1.02567829471247,0.0640131895230104,58.7360594795539,-0.2611548259458296,0.21897026925356375,58.51851851851851,2026-02-09,-0.49698353
TFC,18,0.2529942330305278,0.0832323580428227,67.78957083525611,-0.23623682630748233,0.07670972354233876,54.61254612546126,0.08161101837604512,0.0756196944793064,58.45588235294118,2026-03-11,1.6983032
DE,18,0.5370687869924701,0.05436593433457706,76.11802674043338,-0.25114614476210506,0.06930374222737935,54.61254612546126,-0.5289805425946705,0.07927016061772542,58.45588235294118,2026-03-11,6.707132
AJG,36,0.9000700925584322,0.01861361251028382,90.63653136531366,0.1748817552613655,0.04849445092230957,74.16974169741697,-0.38264881128114503,0.08644487438346328,58.45588235294118,2026-03-11,6.0656548
EIX,23,0.8279540739883735,0.031240141984741482,85.29276164130935,-0.23011285993040298,0.0644913952291677,56.08856088560885,-0.446944148218118,0.13719526249946817,58.30258302583026,2026-03-11,-2.499473
ADI,27,0.8160971200280952,0.03150117659518771,87.26937269372694,0.2080532921337016,0.05379846267678147,62.73062730627307,-0.3752439431509422,0.11536939522365083,58.08823529411765,2026-03-11,1.3948917
POOL,17,0.23167341726636026,0.06676176750408244,66.69741697416974,-0.1533904245036135,0.08060108485260953,45.75645756457565,-0.12343570981741214,0.0810414655223335,58.08823529411765,2026-03-11,-1.6782761
WMB,16,0.37521409928272587,0.08781703860394566,71.90959409594096,-0.4990813835395078,0.06414381049284501,49.815498154981555,-0.10563174867076852,0.05471610854560328,58.08823529411765,2026-03-11,-0.35814047
KDP,16,0.13892973250324747,0.055789344816697,67.9280110752192,0.026989198713051943,0.05690789264811658,58.671586715867164,0.019240772609925072,0.07355897688854497,58.08823529411765,2026-03-11,2.768886
MSI,28,0.8645275799359823,0.024169288831027935,89.76486860304288,-0.6009557876847573,0.05216325232959457,67.52767527675276,-0.8463048182073734,0.09309584674427325,57.720588235294116,2026-03-11,4.675734
RCL,20,0.333203180773594,0.142861716053198,77.48038763267189,-0.9678482786505695,0.11270867894587888,35.05535055350554,-0.3470322936788155,0.159501818497799,57.720588235294116,2026-03-11,1.5205145
D,16,0.22157501732541163,0.050467497119334015,67.89838337182448,-0.3225424332159066,0.060517997053939364,50.184501845018445,-0.06350100863709196,0.037165011199784104,57.564575645756456,2026-03-11,1.2245536
PPG,17,0.362129817299768,0.0594620216992236,73.90502535730752,0.044905724616741804,0.04320601976233433,55.35055350553506,-0.12967415409966287,0.07541921603819622,57.19557195571956,2026-03-11,3.751874
AMZN,16,0.07169331077491559,0.08677025617307858,68.6030428769018,0.05189929582366348,0.059914926065578814,78.22878228782287,-0.16672922471785,0.08537178861087093,56.98529411764706,2026-03-11,4.0513277
MKC,17,0.3819664282141696,0.050797733527680834,70.53941908713693,-0.10152939351884482,0.05619869788521912,64.57564575645756,-0.17954431336215393,0.05369970903361854,56.82656826568265,2026-03-11,-1.9265056
JBHT,20,0.6918237251771859,0.041371579663889775,80.30442804428044,-0.2184396441225036,0.07930485644022435,56.08856088560885,-0.6157591291460529,0.12671340032732412,56.61764705882353,2026-03-11,-4.7164083
WAT,18,0.41275333750338017,0.05668285278241182,75.14983863531582,-0.2523597767305674,0.1006193477914028,52.767527675276746,0.004946749602409373,0.09436363822820827,56.61764705882353,2026-03-11,4.500699
CNC,18,0.3750432098005658,0.0663400598520104,74.73441108545035,-0.30810035856546536,0.09020375211752234,59.40959409594095,-0.0783222548407072,0.208948102198669,56.61764705882353,2026-03-11,6.431937
LH,17,0.3439142972334477,0.0640441556685731,74.81549815498155,0.005068900839084178,0.050038071580292325,62.36162361623616,-0.0285821283936758,0.05927451928114462,56.61764705882353,2026-03-11,-2.7561784
INTU,17,0.21602475962237533,0.06688788745094833,71.96864914707238,-0.04299231344380394,0.06026850663079114,56.08856088560885,-0.05014718166983334,0.10770843500066621,56.61764705882353,2026-03-11,-1.3749897
SYF,28,0.9084604523667181,0.035812792817049674,90.06332196785193,-0.580082180690723,0.09226877403144707,60.70038910505836,-0.056800136991519645,0.11737148435257566,56.42023346303502,2026-03-11,-8.715534
