ticker,target_date,forecast_return,test_dir_acc,test_r2
JPM,2026-03-11,3.963399,56.25,-0.10292909285587237
IEX,2026-03-11,2.1721244,56.25,-0.09475599629685494
MRK,2026-03-11,-0.57830215,56.25,-0.2576135199286329
UPS,2026-03-11,0.25234222,56.25,-0.8377543323496837
WST,2026-03-11,0.7861495,56.25,-0.21548748907158255
FTV,2026-03-11,0.36011934,56.19047619047619,-0.1976380900474075
HPE,2026-03-11,0.1666069,56.14035087719298,-0.04931106778306593
BMY,2026-03-11,-2.6067853,56.08856088560885,0.02098420695012726
COST,2026-03-11,0.8174777,55.88235294117647,-0.7646271321862224
FOX,2026-03-11,-1.874131,55.633802816901415,-0.9257535039180862
KMI,2026-03-11,0.04467964,55.51470588235294,-0.14158521891154363
HLT,2026-03-11,3.6177397,55.51470588235294,-0.4042376224686619
NDAQ,2026-03-11,2.5070786,55.35055350553506,0.10652045277262867
CI,2026-03-11,-1.9954145,55.14705882352941,-0.002767991537715897
SYY,2026-03-11,0.20651817,55.14705882352941,-0.10577751988170414
MCO,2026-03-11,0.9039521,55.14705882352941,-0.21857194278417413
C,2026-03-11,6.1511755,54.779411764705884,-0.3919234724817524
GS,2026-03-11,7.320285,54.779411764705884,-0.26846141840647264
IRM,2026-03-11,4.7293663,54.41176470588235,-0.3571141937022122
WTW,2026-03-11,0.76311827,54.41176470588235,-0.15815283326722218
BBY,2026-03-11,3.7121415,54.41176470588235,-0.2909848789465701
BAC,2026-03-11,1.3199687,54.41176470588235,-0.1218210827834012
A,2026-03-11,2.4493694,54.41176470588235,-0.03290678970661465
HUM,2026-03-11,13.186132,54.41176470588235,0.0008233747661027246
AXON,2026-03-11,6.3175917,54.04411764705882,-0.49890618510328744
NEM,2026-03-11,7.328737,54.04411764705882,-1.1554970227358727
NVDA,2026-03-11,0.22107363,53.67647058823529,-0.9314375943537829
ODFL,2026-03-11,-5.0287304,53.67647058823529,0.1277170591361496
V,2026-03-11,4.3828607,53.67647058823529,-0.14918327635757378
DHR,2026-03-11,3.4920335,53.50553505535055,-0.08929591879958543
LIN,2026-03-11,-7.407522,53.30882352941176,-0.7486797069589497
DLR,2026-03-11,-1.2952447,53.30882352941176,-0.6144722147973203
HIG,2026-03-11,2.0399928,53.13653136531366,-0.7594846456602169
ELV,2026-03-11,9.454799,52.94117647058824,-0.1743624460951947
UNH,2026-03-11,1.4520168,52.94117647058824,-0.18434663415668728
WFC,2026-03-11,-8.939981,52.94117647058824,-0.6189711640220812
